country,date,fatalities,flight_model,location,operator
Bermuda,05-09-1947,0,Avro 691 Lancastrian C.3,Bermuda Air ...,BSAA
USA,06-09-1947,,Douglas R4D-5 (DC-3),Grosse Ile N...,US Navy
Philippines,13-09-1947,,Douglas DC-3,Zamboanga,Philippine Air Lines
USA,17-09-1947,0,Curtiss C-46E,Hollywood-Lo...,Slick Airways
Venezuela,17-09-1947,0,Douglas C-47A (DC-3),Carlota,C.A. Vuelos Express
Argentina,17-09-1947,,Vickers 615 Viking 1B,Buenos Aires...,LADE
India,18-09-1947,,Douglas C-47A (DC-3),Junagarh,Tata Airlines
Peru,19-09-1947,14,Douglas C-54D (DC-4),near Puerto San Juan,USAF
Russia,19-09-1947,0,Ilyushin Il-12P,Moskva-Vnuko...,Aeroflot / Moscow
USA,20-09-1947,0,Douglas DC-4,New York-Flo...,Pan Am
USA,30-09-1947,0,OA-10A Canso A (PBY-5A),"Dago Lake, AK",USAF
U.K.,03-10-1947,0,Avro 691 Lancastrian C.3,Belfast-Nutt...,Skyways
France,04-10-1947,,Amiot AAC.1 (Junkers Ju-52),Pau,Air France
France,07-10-1947,,SNCASE SE.161 Languedoc,Bone,Air France
Vietnam,11-10-1947,15,Amiot AAC.1 (Junkers Ju-52),,French AF
China,13-10-1947,,Douglas R4D-5 (DC-3),unknown,US Navy
Atlantic Ocean,14-10-1947,0,Boeing 314A,"near Gander, NL, ...",American International
USA,14-10-1947,3,Douglas C-47A (DC-3),"Pikes Peak, CO",USAF
Spain,16-10-1947,41,Bristol 170 Freighter I,near Cartagena,TAI
USA,16-10-1947,3,Douglas DC-3,"Sylva, NC",Strato-Freight
China,17-10-1947,3,Douglas DC-3,near Hopei,Civil Air Transport
U.K.,21-10-1947,4,Short Sunderland GR.3,near Southend Pier,RAF
U.K.,23-10-1947,0,Avro 691 Lancastrian B.3,London,BSAA
USA,24-10-1947,52,Douglas DC-6,near Bryce Canyon...,United Airlines
USA,26-10-1947,18,Douglas DC-4,Annette Isla...,Pan Am
Greece,26-10-1947,44,Douglas DC-4-1009,Mount Hymettus,AB Aerotransport
China,27-10-1947,2,Douglas DC-3,near Yulin,CNAC
Sri Lanka,30-10-1947,0,Avro 685 York C.1,Negombo RAF ...,RAF
Australia,30-10-1947,2,Lockheed 414-08 Hudson IVA,near Muswellbrook...,John Fairfax & Sons
India,31-10-1947,25,Douglas C-47A (DC-3),within Pir Panjal R...,Royal Indian AF
Venezuela,??-OCT-1947,,PBV-1A Canso (PBY-5A),,T.A. Transandino
Philippines,02-11-1947,5,Douglas DC-3,near Barrio Rizal,Philippine Air Express
U.K.,05-11-1947,0,Avro 685 York C.1,Lyneham RAF ...,RAF
Indonesia,06-11-1947,0,PB2B-1 Catalina,Balikpapan,Dutch Navy
Bermuda,13-11-1947,0,Avro 691 Lancastrian C.3,Bermuda Air ...,BSAA
India,13-11-1947,0,Douglas C-53-DO (DC-3),Jammu Airpor...,Air-India
France,13-11-1947,2,Amiot AAC.1 (Junkers Ju-52),near Bouchox,SANA
USA,15-11-1947,,Douglas C-47B (DC-3),"Adak, AK",USAF
India,16-11-1947,0,Avro 685 York C.1,Bombay-Santa...,RAF
U.K.,17-11-1947,0,Avro 685 York C.1,Dishforth RA...,RAF
Italy,18-11-1947,21,Bristol 170 Freighter XI,Santa Maria ...,AB TT-Transportflyg
USA,18-11-1947,5,Lockheed L-049 Constellation,Wilmington-N...,TWA
U.K.,19-11-1947,1,Short S.25 Sunderland 3,Brightstone ...,BOAC
USA,19-11-1947,,Douglas R5D-4 (DC-4),Honolulu NAF...,US Navy
Brazil,19-11-1947,16,Consolidated C-10 Catalina (PBY-5),Porto de Moz...,Brazilian AF
Czech Rep.,21-11-1947,13,Lisunov Li-2P,"Plouznice, L...",TARS
Pacific Ocean,21-11-1947,9,Lockheed P2V-2 Neptune,"near San Diego, CA",US Navy
P.N. Guinea,23-11-1947,0,Bristol 170 Freighter IA,Wau Airport ...,Bristol
Russia,24-11-1947,0,Ilyushin Il-12P,Sverdlovsk-K...,Aeroflot / Moscow
Venezuela,25-11-1947,0,Douglas C-47 (DC-3),Ciudad BolC-v...,LAV
Montenegro,27-11-1947,23,Lisunov Li-2P,near Rumija,JUSTA
USA,27-11-1947,13,Douglas C-47 (DC-3),"Yakutat, AK",Columbia Air Cargo
Italy,28-11-1947,20,Douglas C-47B (DC-3),near Trappa,USAF
Argentina,28-11-1947,0,Douglas C-47A (DC-3),BahC-a Blanca...,Argentine AF
USA,30-11-1947,8+ 1,Douglas C-54A (DC-4),Seattle/Taco...,Alaska Airlines
Russia,01-12-1947,0,Ilyushin Il-12,near Taldom,Polyarnaya Aviatsiya
USA,09-12-1947,0,Fairchild C-82A Packet,"near Eglin, TX",USAF
Canada,10-12-1947,23,Douglas C-54D (DC-4),near Goose Bay Ai...,USAF
USA,10-12-1947,1,Douglas C-47B (DC-3),near Camp Springs...,USAF
USA,11-12-1947,20,Douglas C-47B (DC-3),"near Memphis, TN",USAF
France,12-12-1947,,Douglas C-47A (DC-3),Paris-Orly A...,Air AlgC)rie
U.K.,16-12-1947,0,Avro 685 York C.1,near Abingdon RAF...,RAF
USA,16-12-1947,6,Consolidated PBY-5A Catalina,Norfolk NAS ...,US Navy
Russia,18-12-1947,,Douglas C-47 (DC-3),near Tyoply Stan,Aeroflot
Russia,18-12-1947,7,Ilyushin Il-12P,near Krasnoyarsk ...,Aeroflot / Moscow
Philippines,19-12-1947,0,Douglas C-47B (DC-3),Dilalongan,New Zealand AF
Germany,20-12-1947,0,Douglas Dakota IV (DC-3),near Uetersen RAF...,RAF
Spain,22-12-1947,,Douglas C-47A (DC-3),Madrid-Baraj...,Iberia
USA,23-12-1947,0,Douglas DC-3C,"Miami, FL",Coastal Air Lines
D.R. Congo,24-12-1947,5,Lockheed C-60A Lodestar,near Mitwaba,Sabena
Philippines,26-12-1947,,Douglas DC-3,Manila ?,Philippine Air Lines
Philippines,26-12-1947,,Douglas DC-3,Manila ?,Philippine Air Lines
Philippines,26-12-1947,,Douglas DC-3,Manila ?,Philippine Air Lines
Philippines,26-12-1947,,Douglas C-47A (DC-3),Manila ?,Philippine Air Lines
Pakistan,27-12-1947,23,Douglas C-48C (DC-3),Korangi Creek,Air-India
Netherlands,27-12-1947,0,Douglas C-47A (DC-3),near Leeuwarden,KLM
Mexico,28-12-1947,5+ 3,Douglas DC-2,LC)on,Servicio AC)reo Panini
Denmark,29-12-1947,0,Vickers 628 Viking 1B,near KC8benhavn-Ka...,DDL
Russia,30-12-1947,6,Lisunov Li-2,near Chrysostom,Aeroflot / Moscow
