country,date,fatalities,flight_model,location,operator
USA,04-12-2015,0,BAe-125-800SP,Palm Springs...,WC Leasing Corp.
South Africa,07-12-2015,1,Eclipse 500,"near Swellendam, ...",Dixco Transport
USA,10-12-2015,0,Raytheon 390 Premier I,Chicago-Exec...,Sky Mast
Canada,11-12-2015,1,Cessna 208B Grand Caravan,near Pickle Lake ...,Wasaya Airways
France,11-12-2015,0,Cessna 550 Citation II,Oyonnax-Arbe...,MEVA
USA,15-12-2015,0,Boeing 737-3H4 (WL),Nashville In...,Southwest Airlines
U.K.,15-12-2015,0,Embraer EMB-145MP (ERJ-145MP),Newcastle Ai...,Eastern Airways
Indonesia,21-12-2015,0,Embraer ERJ-195,Kupang-El Ta...,KalStar Aviation
India,22-12-2015,10,Beech B200 Super King Air,Delhi-Indira...,Border Security Force
USA,23-12-2015,0,Raytheon Beechjet 400A,Telluride Ai...,AerolC-neas Ejecutivas
Turkey,23-12-2015,0+ 1,Boeing 737-86J (WL),Istanbul-Sab...,Pegasus Airlines
Turkey,24-12-2015,0,Airbus A310-308,Istanbul-Ata...,Mahan Air
D.R. Congo,24-12-2015,0+ 8,Airbus A310-304F,Mbuji-Mayi A..., Serve Air
Madagascar,26-12-2015,0,ATR-72-500,Antananarivo...,Air Madagascar
USA,30-12-2015,0,Beech 200 Super King Air,Gary Regiona...,Cobb Aviation Services
USA,02-01-2016,0,Cessna 208B Grand Caravan,near Anaktuvuk Pa...,Wright Air Service
USA,03-01-2016,0,Canadair CRJ-702,Chicago-O'Ha...,"United Express, opb GoJet Airlines"
USA,04-01-2016,0,Beech 200 Super King Air,St. Petersbu...,Skyway Aircraft
Colombia,05-01-2016,0,Basler BT-67 Turbo 67 (AC-47T),Tres Esquina...,Colombian AF
Sweden,08-01-2016,2,Canadair CRJ-200PF,near OajevC!gge,West Air Sweden
Brazil,09-01-2016,0,ATR-72-500,RondonC3polis...,Passaredo Linhas AC)reas
Puerto Rico,10-01-2016,0,Beech B200 Super King Air,San Juan-Lui...,Island Airlines
Namibia,14-01-2016,0,Airbus A319-112,near Windhoek-Hos...,Air Namibia
USA,15-01-2016,0,Cessna 208B Grand Caravan,Hooper Bay A...,Grant Aviation
Colombia,17-01-2016,0,BN-2A-21 Islander,Corral Viejo,Unknown
USA,18-01-2016,2,Cessna 525 CitationJet,"near Cedar Fort, UT",Private
USA,18-01-2016,0,Dassault Falcon 20F-5,Scottsdale A...,Sterling LIHTC
Antarctica,20-01-2016,0,DHC-6 Twin Otter 300,Amundsen-Sco...,Kenn Borek Air
Canada,21-01-2016,0,Cessna 560XL Citation Excel,Toronto-Pear...,Airsprint
Australia,28-01-2016,0,Cessna 208 Caravan I,"Chance Bay, ...",Hamilton Island Air
Iran,28-01-2016,0,MD-83,Mashhad Airp...,Zagros Air
Mexico,30-01-2016,0,Rockwell Sabreliner 80,QuerC)taro Ai...,private
Somalia,02-02-2016,1,Airbus A321-111,near Mogadishu In...," Hermes Airlines, op.for Daallo Airlines"
Denmark,04-02-2016,0,Canadair CRJ-900ER,KC8benhavn-Ka...,"SAS, opb Cimber"
Canada,04-02-2016,0,Beech B100 King Air,Montreal-St....,Max Aviation
Russia,06-02-2016,3,Antonov An-2R,"Gay, Orenbur...",Light Air
France,07-02-2016,0,Cessna 525A CitationJet CJ2,ChambC)ry Air...,Windrose Air
Myanmar,10-02-2016,5,Beech 1900D,near Naypyidaw In...,Myanmar Air Force
USA,12-02-2016,0,Lockheed L-100-30 Hercules,"near Iliamna, AK",Lynden Air Cargo
USA,20-02-2016,0,Cessna 525 Citation M2,Orlando Inte...,private
USA,23-02-2016,0,Embraer ERJ-145MP,Saint Louis-...,Trans States Airlines
Nepal,24-02-2016,23,Viking Air DHC-6 Twin Otter 400,"Dana, Myagdi...", Tara Air
Malaysia,26-02-2016,0,IPTN/CASA CN-235M-VIP,near Kuala Selangor,Royal Malaysian AF
USA,02-03-2016,0,Beech 99A,"near Bangor, ME",Wiggins Airways
South Africa,03-03-2016,0,Cessna 208 Caravan I,near Langebaanweg...,South African AF
India,03-03-2016,0,Boeing 737-95R,Mumbai-Chhat...,Jet Airways
Iraq,05-03-2016,0,Beech B300 Super King Air 350,near Kawrgosk,US Army
USA,05-03-2016,0,Boeing 767-34AFER (WL),Albuquerque ...,UPS
France,07-03-2016,0,Embraer ERJ-190STD (ERJ-190-100),Basel/Mulhou...,KLM Cityhopper
France,07-03-2016,0,Dornier 328-110,Basel/Mulhou...,SkyWork Airlines
Bangladesh,09-03-2016,3,Antonov An-26B,near Cox's Bazar ...,True Aviation
Guadeloupe,13-03-2016,0,BN-2B-20 Islander,Saint-BarthC)...,Anguilla Air Services
USA,14-03-2016,0,Raytheon Beechjet 400A,Rome-Richard...,Flight Options
Ecuador,15-03-2016,22,IAI Arava 201,Hacienda la ...,Ecuador Army
Iraq,16-03-2016,3,Cessna AC-208B Combat Caravan,Hawijah,Iraqi AF
Pakistan,18-03-2016,0,Beech 1900D,Karachi-Jinn...,ASSL
Russia,19-03-2016,62,Boeing 737-8KN (WL),Rostov Airpo...,flydubai
Argentina,22-03-2016,0,Swearingen SA226-TC Metro II,RC-o Grande A...,CEDMA AviaciC3n
Italy,23-03-2016,0,Avro RJ85,Florence-Per...,CityJet
Kazakhstan,27-03-2016,0,Fokker 100,Astana Inter...,Bek Air
Cyprus,29-03-2016,0,Airbus A320-232,Larnaca Airp...,EgyptAir
Russia,29-03-2016,0,Antonov An-26RT,Rostov Airpo...,Russian AF
Mexico,01-04-2016,3,Cessna 208B Grand Caravan,near Durango-Guad...,AC)reo Servicios Empresariales
Russia,03-04-2016,0,Antonov An-2R,"near Aksarino, Za...",Technoservice-A
Indonesia,04-04-2016,0,Boeing 737-8GP (WL),Jakarta-Hali...,Batik Air
Indonesia,04-04-2016,0,ATR 42-600,Jakarta-Hali...,TransNusa Aviation Mandiri
Brazil,04-04-2016,0,Cessna 208B Grand Caravan,near MacapC! Inter...,Two TC!xi AC)reo
Japan,06-04-2016,6,Raytheon U-125 (Hawker 800),near Kanoya Air Base,JASDF
Colombia,07-04-2016,0,Douglas C-47A (DC-3),near Puerto GaitC!...,Aerolineas Llaneras - Arall
USA,09-04-2016,0,DHC-6 Twin Otter 100,Fentress Air...,Skydive San Marcos
P.N. Guinea,13-04-2016,12,PADC/BN-2T Islander,near Kiunga Airpo...,Sunbird Aviation
Russia,14-04-2016,1,Antonov An-2,"Maryevka, Pe...",Unknown
Canada,20-04-2016,0,Beech 1900D,Gander Airpo...,"Air Canada Express, opb Exploits Valley Air Services"
Brazil,21-04-2016,0,Beech 300 Super King Air,Porto Seguro...,AgropecuC!ria Otura
Spain,24-04-2016,0,Swearingen SA226-AT Merlin IVA,Gerona-Costa...,Flightline
Ecuador,28-04-2016,0,Embraer ERJ-190,Cuenca-Maris...,TAME Ecuador
Italy,30-04-2016,0,Fokker 50,Catania-Font...,Air VallC)e
Sudan,30-04-2016,5,Antonov An-26,near El Obeid Air...,Sudan AF
Canada,05-05-2016,0,Convair CV-580 Airtanker,Manning Airp...,Conair Aviation
USA,06-05-2016,0,Antonov An-2R,near San Bernardi...,American Airpower
India,07-05-2016,0,ATR 72-600 (72-212A),Indore Airpo...,Jet Airways
USA,10-05-2016,0,Airbus A321-211,Phoenix-Sky ...,American Airlines
USA,10-05-2016,0,Beech B100 King Air,Dexter Munic...,Dexter Air
France,11-05-2016,0,Airbus A320-214,Paris-Charle...,Air France
France,11-05-2016,0,Boeing 777-328ER,Paris-Charle...,Air France
USA,12-05-2016,0,Cessna 208B Grand Caravan,near Lodi Airport...,Parachute Center
Mexico,14-05-2016,0,Cessna 208 Caravan I,near Tequesquitengo,Unknown
Afghanistan,18-05-2016,7,Antonov An-12B,Dwyer Airpor...,Silk Way
Mediterranean Sea,19-05-2016,66,Airbus A320-232,near Egyptian coast,EgyptAir
USA,23-05-2016,0,Cessna 501 Citation I/SP,"near Texarkana, AR",Eagle II Aero
Japan,27-05-2016,0,Boeing 777-3B5,Tokyo-Haneda...,Korean Air
U.K.,28-05-2016,0,Airbus A320-214,Manchester A...,Vueling
South Sudan,03-06-2016,0,Cessna 208B Grand Caravan,Akobo Airport,Lady Lori (Kenya) Ltd
Indonesia,04-06-2016,0,Cessna 208B Grand Caravan EX,Ilaga Airpor...,Pegasus Air Services
South Sudan,04-06-2016,0,Antonov An-30A-100,Yambio Airport,South Stone Airlines
Russia,05-06-2016,0,BAe-125-800B,near Neryungri Ai...,Aerolimousine
USA,05-06-2016,0,Cessna 208B Grand Caravan,Fort Dodge A...,Air Choice One
South Korea,06-06-2016,0,MD-11F,Seoul-Incheo...,UPS
USA,06-06-2016,0,Cessna 560 Citation Ultra,Gainesville-...,Red Wing Aeroplane Company
South Sudan,14-06-2016,0,Antonov An-32A,Bor Airport,"Coco Aviation, lsf Ayk Avia"
Indonesia,14-06-2016,0,Cessna 208B Grand Caravan EX,"Lolat, Yahuk...",Associated Mission Aviation
Indonesia,14-06-2016,0,ATR-72-600,unknown,Wings Air
Vietnam,16-06-2016,9,CASA C-212 Aviocar 400MPA,near Bach Long Vi...,Vietnam Coast Guard
Iran,19-06-2016,0,BAe-146-300,Khark Airpor...,Mahan Air
USA,19-06-2016,0,DHC-3T Texas Turbine Otter,near Homer-Beluga...,Bald Mountain Air Services
D.R. Congo,21-06-2016,0,Dornier 228-202,Goma Airport..., Busy Bee Congo
Peru,21-06-2016,0,Beech 200C Super King Air,Lima-Jorge C...,Aer Caribe
Greece,26-06-2016,0,Canadair CL-215,near Dervenochoria,Hellenic AF
Kazakhstan,26-06-2016,1,Antonov An-2R,Bereke,Tamshybulak
Singapore,27-06-2016,0,Boeing 777-312ER,Singapore-Ch...,Singapore Airlines
Russia,30-06-2016,2,Antonov An-2SX,near Novopokrovsk...,Krasnokutske Flight School of Civil Aviation
Russia,01-07-2016,10,Ilyushin Il-76TD,"near Rybnyi Uyan,...",Russian Ministry of Emergency Situations
Thailand,07-07-2016,0,DHC-8-402Q Dash 8,Loei Airport...,Nok Air
Portugal,11-07-2016,3,Lockheed C-130H Hercules,Montijo Air ...,Portuguese AF
Puerto Rico,15-07-2016,0,Beech B200 Super King Air,San Juan-Fer...,Execumed Corp.
Canada,17-07-2016,0,Beech 200 Super King Air,Iqaluit Airp...,Air Nunavut
China,20-07-2016,5,Cessna 208B Grand Caravan EX,near Jinshan City...,Joy General Aviation
USA,20-07-2016,0,Beech B200 Super King Air,Burnsville-M...,Century Equipment Company
USA,21-07-2016,0,Cessna 208B Grand Caravan,Baldwin Airp...,Skydive Twin Cities
Indian Ocean,22-07-2016,29,Antonov An-32,near Chennai [Bay...,Indian AF
USA,26-07-2016,0,Embraer Phenom 300,Houston-Suga...,"Flexjet, opb Flight Options"
USA,28-07-2016,0,Gulfstream G650ER,Colorado Spr...,TDC Management
Russia,31-07-2016,3,Antonov An-2R,Abatova Moun...,Lemaks
USA,01-08-2016,0,Beech C99,near Spanish Fork...,Ameriflight
France,01-08-2016,0,Canadair CL-415,Ajaccio-Napo...,SecuritC) Civile
U.A.E.,03-08-2016,0+ 1,Boeing 777-31H,Dubai Airpor...,Emirates
Nepal,04-08-2016,0,Cessna 208B Grand Caravan,near Simikot, Makalu Air
USA,04-08-2016,0,Boeing 737-3H4 (WL),Baltimore/Wa...,Southwest Airlines
Italy,05-08-2016,0,Boeing 737-476SF,Bergamo-Orio...,ASL Airlines Hungary
USA,09-08-2016,0,Boeing 737-832 (WL),New York-Joh...,Delta Air Lines
Russia,11-08-2016,0,Antonov An-2R,Polyarnyj Ai...,ALROSA
USA,13-08-2016,0,Cessna 500 Citation I,Fort Lauderd...,Strong Tower Services
Portugal,14-08-2016,0,Beriev Be-200ES,near SC#o Pedro do...,Russian Ministry of Emergency Situations
Venezuela,14-08-2016,2,Beech 200 Super King Air,Orillas del ...,Unknown
Venezuela,16-08-2016,2,Cessna 550 Citation II,near Charallave-C...,Unknown
Russia,24-08-2016,0,Tupolev Tu-204S,Noril'sk Air...,Aviastar-TU
Bahamas,25-08-2016,0,Learjet 55,North Eleuth...,RCR7 LLC
USA,27-08-2016,0,Boeing 737-7H4 (WL),"near Biloxi, MS",Southwest Airlines
South Korea,28-08-2016,0,Airbus A330-323,Seoul-Incheo...,Asiana Airlines
USA,31-08-2016,3,Cessna 208B Grand Caravan EX,near Russian Miss...,"Ravn Connect, opb Hageland Aviation Services"
USA,10-09-2016,0,Beech 200 Super King Air,Orlando Apop...,Hurricane Joaquin
Indonesia,13-09-2016,0,Boeing 737-347 (SF),Wamena Airpo...,Trigana Air Service
Russia,17-09-2016,0,Antonov An-2R,near Tatarskoye U...,"Technoservice-A, lsf Aviapartner"
Chile,17-09-2016,0,Cessna 208B Grand Caravan,Puerto Montt...,Servicios AC)reos Pewen
USA,21-09-2016,0,Beech B100 King Air,Jackson-McKe...,O.I.A. Enterprises
South Africa,22-09-2016,0,Beech 200 Super King Air,"Bray, Northe...",Majestic Air
Puerto Rico,22-09-2016,0,Learjet 25D,San Juan-Fer...,WMG Techno-Logistic
Nepal,24-09-2016,0,BAe 4101 Jetstream 41,Bhairawa Air..., Yeti Airlines
USA,24-09-2016,0,DHC-8-202Q Dash 8,Washington-D...,"Commutair, opf United Express"
Indonesia,25-09-2016,0,Learjet 31A,Jakarta-Hali...,Nusantara Air Charter
Colombia,30-09-2016,4,Cessna 208B Grand Caravan,near San Antonio ...,Llanera de AviaciC3n
Bahamas,30-09-2016,0,Beech 1900C,Deadman's Ca...,Southern Air Charter
Taiwan,01-10-2016,0,Airbus A330-302,Taipei-Taiwa...,China Airlines
USA,02-10-2016,3,Cessna 208B Grand Caravan,"near Togiak, AK","Ravn Connect, opb Hageland Aviation Services"
Finland,03-10-2016,0,Cessna F406 Caravan II,Oulu Airport...,Lapin Tilauslento
U.K.,04-10-2016,0,Boeing 737-4Q8 (SF),Belfast Inte...,ASL Airlines Belgium
Brazil,09-10-2016,0,Embraer P-95B Bandeirulha (EMB-111),SC#o Paulo-Ca...,Brazilian AF
Russia,11-10-2016,0,Antonov An-26-100,near Belaya Gora ...,Polyarnaya Aviatsiya
Canada,11-10-2016,0,Beech 200 Super King Air,Bloodvein Ri...,Fast Air
Canada,13-10-2016,4,Cessna 500 Citation I,near Kelowna Airp...,Norjet
USA,13-10-2016,0,Cessna 525B CitationJet CJ3+,Smithfield-N...,A.R. Wings
USA,14-10-2016,1,Cessna 208 Caravan I,Dunnellon/Ma...,NPTC
Colombia,19-10-2016,1,Lockheed C-130B Hercules,near Apiay,Colombian AF
Brazil,21-10-2016,0,Embraer C-95BM Bandeirante (EMB-110,Porto Alegre...,Brazilian AF
Brazil,21-10-2016,0,Airbus A300B4-203F,Recife-Guara...,Sterna Linhas AC)reas
Portugal,22-10-2016,0,ATR-72-600,Lisboa-Humbe...,"TAP Express, opb White Airways"
Malta,24-10-2016,5,Swearingen SA227-AT Expediter,Malta-Luqa A...,CAE Aviation
Mexico,24-10-2016,0,Dornier 328JET-310,Toluca Airpo...,FlyMex
Colombia,28-10-2016,0,Swearingen SA227-DC Metro 23 (C-26B,BogotC!-Eldor...,Colombian Police
USA,28-10-2016,0,MD-10-10F,Fort Lauderd...,FedEx
USA,28-10-2016,0,Boeing 767-323ER (WL),Chicago-O'Ha...,American Airlines
USA,30-10-2016,0,Beech 100 King Air,Jeffersonvil...,Honaker Aviation
Indonesia,31-10-2016,4,DHC-4T Caribou,near Ilaga Airpor...,"Puncak Regency Adm., opb Alfa Indonesia"
USA,??-OCT-2016,0,Cessna 500 Citation I,Wichita-Mid-...,Advanced Power Aviation
Argentina,10-11-2016,0,MD-11F,Buenos Aires...,Lufthansa Cargo
Panama,14-11-2016,0,Bombardier  Challenger 300,Panama City ...,Unknown
USA,19-11-2016,0,Boeing 737-823 (WL),Saint Louis-...,American Airlines
USA,23-11-2016,0,Beech 200 Super King Air,near Moorhead Mun...,Flight Development
U.K.,24-11-2016,0,Dassault Falcon 7X,London City ...,Shell Aircraft
U.K.,24-11-2016,0,Dassault Falcon 7X,London City ...,Shell Aircraft
Indonesia,27-11-2016,0,CASA/Nurtanio NC-212 Aviocar,Pitu/Morotai...,Indonesian Navy
Colombia,28-11-2016,71,Avro RJ85,near Rionegro/Med...,LaMia
Canada,01-12-2016,0,Basler BT-67 Turbo 67 (DC-3T),Pickle Lake ...,"ALCI Aviation, opf North Star Air Cargo"
USA,02-12-2016,0,Beech B100 King Air,Tyler-Pounds...,Kidd Aviation
Indonesia,03-12-2016,13,PZL-Mielec M28 Skytruck,near Tanjung Pinang,Indonesian Police
USA,04-12-2016,0,Cessna 500 Citation I,Gunnison-Cre...,Yatish Air
USA,05-12-2016,1,Swearingen SA227-AC Metro III,"near Camilla, GA",Key Lime Air
USA,05-12-2016,0,Cessna 550 Citation II,near Port Aransas...,"DC Aviation, LLC"
Pakistan,07-12-2016,47,ATR 42-500,near Havelian,PIA
Australia,07-12-2016,0,Boeing 737-8FE (WL),Hobart Airpo...,Virgin Australia Airlines
Australia,07-12-2016,0,Boeing 737-8FE (WL),Hobart Airpo...,Virgin Australia Airlines
Afghanistan,10-12-2016,0,Boeing 737-46J,Kabul-Hamid ...," Jordan Aviation, op.for Safi Airways"
Canada,12-12-2016,0,Beech A100 King Air,Saint-FrC)dC)r...,Grondair Aviation
Australia,13-12-2016,0,Beech B200 Super King Air,Moomba Airpo...,Royal Flying Doctor Service
U.K.,14-12-2016,0,DHC-8-402Q Dash 8,Manchester A...,Flybe
Denmark,16-12-2016,0,Bombardier CRJ-900ER (CL-600-2D24) ,KC8benhavn-Ka...,"SAS, opb Cimber"
Indonesia,18-12-2016,13,Lockheed C-130H Hercules,near Wamena Airpo...,Indonesian AF
Japan,18-12-2016,0,Boeing P-8A Poseidon (737-8FV),Okinawa-Kade...,US Navy
Russia,19-12-2016,0,Ilyushin Il-18V,near Tiksi Airpor...,Russian AF
Colombia,20-12-2016,5,Boeing 727-2J0 (F) Adv.,near Puerto Carre...,Aerosucre Colombia
Malaysia,21-12-2016,1,Beech B200T Super King Air,Butterworth ...,Royal Malaysian AF
Malta,23-12-2016,0,Airbus A320-214,Malta-Luqa A..., Afriqiyah Airways
Russia,25-12-2016,92,Tupolev Tu-154B-2,near Adler,Russian AF
Indonesia,25-12-2016,0,ATR-72-600,Semarang-Ach...,Wings Air
Denmark,26-12-2016,0,Airbus A340-313,KC8benhavn-Ka...,SAS
Denmark,26-12-2016,0,Avro RJ100,KC8benhavn-Ka...,BRA - Braathens Regional Airlines
India,27-12-2016,0,Boeing 737-85R (WL),Goa-Dabolim ...,Jet Airways
Canada,27-12-2016,0,Cessna 208B Grand Caravan,near Fort McMurra...,W M K Holdings
USA,29-12-2016,6,Cessna 525C Citation CJ4,near Cleveland-Bu...,Superior Beverage Group
Canada,29-12-2016,0,Beech A100 King Air,Moosonee Air...,Wabusk Air
USA,??-???-2016,0,Cessna 500 Citation I,unknown,Chippewa Aerospace
Tanzania,02-01-2017,0,Cessna F406 Caravan II,Sasakwa Airs...,Air Excel
D.R. Congo,02-01-2017,0,Let L-410UVP,Shabunda Air..., Doren Air Congo
USA,02-01-2017,0,Hawker 800XP,Scottsdale A...,Pinnacle Air Charter
Indian Ocean,07-01-2017,0,Canadair Challenger 604,"near Muscat, Oman",MHS Aviation
USA,13-01-2017,0,Beech B200 Super King Air,Five Point-A...,Optimal Aviation Services
Kyrgyzstan,16-01-2017,4+ 35,Boeing 747-412F,near Bishkek-Mana...,"ACT Airlines, opf Turkish Cargo"
USA,16-01-2017,0,Cessna 525C Citation CJ4,Howell-Livin...,Zeliff Aviation
USA,19-01-2017,0,Beech 99A,Billings-Log...,Alpine Aviation
USA,23-01-2017,2,Beech 300 Super King Air,Tucson Inter...,KAAZ LLC
USA,23-01-2017,0,Beech C99,Durango-La P...,Alpine Aviation
Australia,26-01-2017,2,Grumman G-73 Mallard,"Swan River, ...",private
USA,27-01-2017,0,Beech 200T Super King Air,West Palm Be...,Eastern Air Express
Colombia,28-01-2017,0,Boeing 737-476 (SF),Leticia-Alfr...,Aer Caribe
Bahamas,07-02-2017,0,Saab 340A,Freeport-Gra...,Western Air
Brazil,09-02-2017,0,BAe-125-800B,SC#o Paulo-Gu...,LC-der TC!xi AC)reo
Germany,09-02-2017,0,Cessna 208B Supervan 900,Illertissen ...,Paranodon Fallschirmsport Illertissen
Botswana,09-02-2017,3,CASA C-212 Aviocar 300,near Thebephatshw...,Botswana AF
Canada,09-02-2017,0,Beech 1900D,Tulita Airpo...,North-Wright Airways
Venezuela,20-02-2017,0,Beech 200 Super King Air,near Lago de Mara...,Unknown
Australia,21-02-2017,5,Beech B200 Super King Air,near Melbourne-Es...,Corporate and Leisure Charters
Netherlands,23-02-2017,0,DHC-8-402Q Dash 8,Amsterdam-Sc...,Flybe
U.K.,23-02-2017,0,Let L-410UVP-E,Isle Of Man-...,"Citywing, opb Van Air Europe"
Austria,25-02-2017,0,Raytheon 390 Premier IA,Salzburg-W. ...,Tatra Jet
Venezuela,28-02-2017,0,Beech B200 Super King Air,Caracas/La C...,SATA
Jordan,28-02-2017,0,Boeing 767-33AER,Azraq-Muwaff...,Omni Air International
U.K.,03-03-2017,0,Airbus A320-214,Manchester A...,easyJet
USA,08-03-2017,0,MD-83,Detroit-Will...,Ameristar Jet Charter
Canada,08-03-2017,0,Bombardier  Global Express,Hamilton Air...,Jetport Inc.
Canada,10-03-2017,0,DHC-6 Twin Otter 200,Yalowega Lak...,Osprey Wings
USA,11-03-2017,0,Cessna 208B Grand Caravan,Kalaupapa Ai...,Makani Kai Air
Bahamas,14-03-2017,0,ATR-72-600,Nassau-Lynde...,Bahamasair
Canada,17-03-2017,0,Basler BT-67 Turbo 67 (DC-3T),near Pickle Lake ...,"Cargo North, opb Private Air"
South Sudan,20-03-2017,0,Antonov An-26,Wau Airport ...,South Supreme Airlines
USA,20-03-2017,0,Swearingen SA226-TC Metro II,Boise Air Te...,Western Air Express
USA,24-03-2017,1,Cessna 500 Citation I Sierra Eagle,"Marietta, GA",Shelter Charter Services
USA,24-03-2017,0,Cessna 550 Citation II,near Salt Lake Ci...,Boulder Capital Inc.
Zimbabwe,27-03-2017,6,BN-2A-3 Islander,near Mutare Airpo...,ETA Air Charter
Iran,27-03-2017,0,Boeing 737-4Q8,Ardabil Airp...,Taban Air
Peru,28-03-2017,0,Boeing 737-3M8,Jauja-Franci...,Peruvian Airlines
Venezuela,30-03-2017,0,Antonov An-2T,La Paragua,Transmandu
South Sudan,01-04-2017,0,Let L-410UVP-E9,Yei Airport,Eagle Air
USA,02-04-2017,0,Airbus A319-114,Tampa Intern...,Air Canada Jetz
Malaysia,08-04-2017,0,Boeing 737-8H6 (WL),Sibu Airport...,Malaysia Airlines
Spain,10-04-2017,0,Boeing 757-21B,Alicante Air...,Jet2
Austria,11-04-2017,0,Gulfstream G450,Salzburg-W. ...,H&S Air LLC
Indonesia,12-04-2017,1,Cessna 208 Caravan I,near Oksibil Airp...,Spirit Avia Sentosa
Guyana,12-04-2017,0,BN-2A-8 Islander,Kopinang Air...,ASL
Taiwan,13-04-2017,0,Viking Air DHC-6 Twin Otter 400,Orchid Islan...,Daily Air
USA,14-04-2017,0,Beech B200 Super King Air,Richfield Mu...,IHC Health Services
Thailand,19-04-2017,0,Airbus A320-232,Bangkok-Suva...,Thai Smile
USA,24-04-2017,0,Beech 99A,Waukesha Air...,Freight Runners Express
Cuba,29-04-2017,8,Antonov An-26,near San Cristobal,"Aerogaviota, opf Cuban AF"
Colombia,01-05-2017,8,Cessna 208B Grand Caravan,near FacatativC!,Colombian Army
USA,01-05-2017,1,Cessna 208B Grand Caravan,"Chignik, AK",Grant Aviation
USA,05-05-2017,2,Shorts 330-200,Charleston-Y...,Air Cargo Carriers
Japan,15-05-2017,4,Beech LR-2 (B300 Super King Air 350,"Assabu, Hokk...",Japan Ground Self-Defense Force
USA,15-05-2017,2,Learjet 35A,near Teterboro Ai...,"A&C Big Sky Aviation LLC, opb Trans-Pacific Jets"
Mexico,17-05-2017,2,Learjet 25B,near Toluca-Licen...,Aerotransportes Huitzilin
USA,22-05-2017,0,Cessna 208B Grand Caravan,"near Skagway, AK",Alaska Seaplanes
USA,24-05-2017,0,DHC-6 Twin Otter 300,Perris Valle...,Perris Valley Aviation
USA,24-05-2017,0,Cessna 208 Caravan I,Elfin Cove S...,Alaska Seaplanes
Nepal,27-05-2017,2,Let L-410UVP-E20,Lukla-Tenzin...,Summit Air
Maldives,27-05-2017,0,DHC-6 Twin Otter 300,MalC)-Velana ...,Trans Maldivian Airways
Nepal,30-05-2017,1,PZL-Mielec M28 Skytruck,Bajura Airpo...,Nepal Army
Russia,30-05-2017,1,Antonov An-26,Balashov Air...,Russian AF
Somalia,30-05-2017,0,Dornier 328JET-310,Mogadishu Ad...,Heidi Aviation
Indonesia,30-05-2017,0,Cessna 208B Grand Caravan,Ilaga Airpor...,MAF
Indonesia,31-05-2017,0,Boeing 737-33A,Manokwari-Re...,Sriwijaya Air
Indonesia,31-05-2017,0,Beech B300 King Air 350i,Ambon-Pattim...,Balai Kalibrasi Fasilitas Penerbangan
Mexico,02-06-2017,0,Swearingen SA227-AC Metro III,near Tampico-Gen ...,Aeronaves TSM
Mongolia,02-06-2017,0,Antonov TVS-2MS,Ulan Bator-C...,SibNIA
Somalia,03-06-2017,0,Fokker F-27 Friendship 600,Garbaharey A...,"Safari Express Airways, opf UN WFP"
Myanmar,07-06-2017,122,Shaanxi Y-8F-200W,near Dawei,Myanmar Air Force
Mali,14-06-2017,0,Beech 200 Super King Air,Bamako Airpo...,Malian AC)ro Company
USA,23-06-2017,0,Airbus A321-211 (WL),Atlanta-Will...,Delta Air Lines
Ukraine,27-06-2017,0,Antonov An-2R,near Kiliya,Kharkiv Aeroclub
USA,30-06-2017,0,Airbus A321-231 (WL),Chicago-O'Ha...,American Airlines
USA,30-06-2017,0,Canadair CRJ-200ER,Chicago-O'Ha...,"SkyWest Airlines, opf American Eagle"
USA,03-07-2017,0,Cessna 208B Super Cargomaster,near Alpine-Caspa...,Martinaire
Venezuela,04-07-2017,9,Gulfstream Aerospace G-1159A Gulfst,near Macanao,SATA
USA,07-07-2017,0,Airbus A320-211,San Francisc...,Air Canada
USA,10-07-2017,16,Lockheed KC-130T Hercules,"near Itta Bena, MS",USMC
Argentina,17-07-2017,0,Beech B200 Super King Air,San Carlos d...,Aero Baires
Indonesia,18-07-2017,0,Boeing 737-301 (SF),Wamena Airpo...,Tri-MG Airlines
Canada,20-07-2017,0,DHC-8-106,near Val-dBOr,Air Creebec
USA,21-07-2017,0,Cessna 208 Caravan,Lower East R...,Tailwind Air Service
Indonesia,22-07-2017,0,Cessna 208B Grand Caravan,Sinak Airpor...,Enggang Air Service
Guyana,25-07-2017,1,PADC/BN-2A-26 Islander,near Eteringbang ...,Roraima Airways
Russia,27-07-2017,0,Antonov An-2R,"near Poltavskaya,...",Aviation Technical Center Virazh
Sao Tome,29-07-2017,0,Antonov An-74TK-100,SC#o TomC) Isl...,Cavok Air
Indonesia,03-08-2017,0,ATR-72-500,Medan-Kualan...,Wings Air
Indonesia,03-08-2017,0,Boeing 737-9GPER,Medan-Kualan...,Lion Air
USA,04-08-2017,0,Cessna 208B Grand Caravan,Mulino State...,Kapowsin Air Sports
P.N. Guinea,04-08-2017,0,DHC-8-202Q Dash 8,near Port Moresby,LinkPNG
USA,05-08-2017,0,Lockheed P2V-5F Neptune,near Pocatello Ai...,"Neptune Aviation Services, opf "
Honduras,16-08-2017,1,Let L-410UVP-E3,Comayagua-Pa...,Honduras AF
U.K.,16-08-2017,0,Cessna 208B Grand Caravan,Netheravon A...,Army Parachute Association
Venezuela,19-08-2017,5,Learjet 25D,near NaiguatC!,Aeroquest
